2023-04-05 16:25:00,041 - INFO - Fold [2/5], Epoch [31/100], Train Loss: 2.0933, Train Acc: 0.3053, Val Loss: 2.0857, Val Acc: 0.3053
2023-04-05 16:25:01,837 - INFO - Fold [2/5], Epoch [32/100], Train Loss: 2.0949, Train Acc: 0.3053, Val Loss: 2.0927, Val Acc: 0.3053
2023-04-05 16:25:03,635 - INFO - Fold [2/5], Epoch [33/100], Train Loss: 2.1037, Train Acc: 0.3053, Val Loss: 2.0855, Val Acc: 0.3053
2023-04-05 16:25:05,435 - INFO - Fold [2/5], Epoch [34/100], Train Loss: 2.0906, Train Acc: 0.3053, Val Loss: 2.0898, Val Acc: 0.3053
2023-04-05 16:25:07,245 - INFO - Fold [2/5], Epoch [35/100], Train Loss: 2.0997, Train Acc: 0.3053, Val Loss: 2.0862, Val Acc: 0.3053
2023-04-05 16:25:09,041 - INFO - Fold [2/5], Epoch [36/100], Train Loss: 2.0942, Train Acc: 0.3053, Val Loss: 2.0910, Val Acc: 0.3053
2023-04-05 16:25:10,835 - INFO - Fold [2/5], Epoch [37/100], Train Loss: 2.0921, Train Acc: 0.3053, Val Loss: 2.0909, Val Acc: 0.3053
2023-04-05 16:25:12,636 - INFO - Fold [2/5], Epoch [38/100], Train Loss: 2.0915, Train Acc: 0.3053, Val Loss: 2.0860, Val Acc: 0.3053
2023-04-05 16:25:14,427 - INFO - Fold [2/5], Epoch [39/100], Train Loss: 2.1022, Train Acc: 0.3053, Val Loss: 2.0830, Val Acc: 0.3053
2023-04-05 16:25:16,207 - INFO - Fold [2/5], Epoch [40/100], Train Loss: 2.0928, Train Acc: 0.3053, Val Loss: 2.0907, Val Acc: 0.3053
2023-04-05 16:25:17,988 - INFO - Fold [2/5], Epoch [41/100], Train Loss: 2.0910, Train Acc: 0.3053, Val Loss: 2.0948, Val Acc: 0.3053
2023-04-05 16:25:19,768 - INFO - Fold [2/5], Epoch [42/100], Train Loss: 2.0895, Train Acc: 0.3053, Val Loss: 2.0810, Val Acc: 0.3053
2023-04-05 16:25:21,552 - INFO - Fold [2/5], Epoch [43/100], Train Loss: 2.0913, Train Acc: 0.3053, Val Loss: 2.0853, Val Acc: 0.3053
2023-04-05 16:25:23,334 - INFO - Fold [2/5], Epoch [44/100], Train Loss: 2.0893, Train Acc: 0.3053, Val Loss: 2.0883, Val Acc: 0.3053
2023-04-05 16:25:25,115 - INFO - Fold [2/5], Epoch [45/100], Train Loss: 2.0920, Train Acc: 0.3053, Val Loss: 2.0892, Val Acc: 0.3053
2023-04-05 16:25:26,900 - INFO - Fold [2/5], Epoch [46/100], Train Loss: 2.0964, Train Acc: 0.3053, Val Loss: 2.0961, Val Acc: 0.3053
2023-04-05 16:25:28,678 - INFO - Fold [2/5], Epoch [47/100], Train Loss: 2.0859, Train Acc: 0.3053, Val Loss: 2.0818, Val Acc: 0.3053
2023-04-05 16:25:30,464 - INFO - Fold [2/5], Epoch [48/100], Train Loss: 2.0958, Train Acc: 0.3053, Val Loss: 2.0813, Val Acc: 0.3053
2023-04-05 16:25:32,242 - INFO - Fold [2/5], Epoch [49/100], Train Loss: 2.0939, Train Acc: 0.3053, Val Loss: 2.0988, Val Acc: 0.3053
2023-04-05 16:25:34,026 - INFO - Fold [2/5], Epoch [50/100], Train Loss: 2.0915, Train Acc: 0.3053, Val Loss: 2.0825, Val Acc: 0.3053
2023-04-05 16:25:35,811 - INFO - Fold [2/5], Epoch [51/100], Train Loss: 2.0926, Train Acc: 0.3053, Val Loss: 2.0872, Val Acc: 0.3053
2023-04-05 16:25:37,590 - INFO - Fold [2/5], Epoch [52/100], Train Loss: 2.1009, Train Acc: 0.3053, Val Loss: 2.0858, Val Acc: 0.3053
2023-04-05 16:25:39,366 - INFO - Fold [2/5], Epoch [53/100], Train Loss: 2.0971, Train Acc: 0.3053, Val Loss: 2.0874, Val Acc: 0.3053
